expires_at,available,id,username,cusername,handle,display_name,created_at,channel_type,country_code,country,avatar,Banner,website,Facebook,twitch,twitter,Instagram,linkedin,discord,tik tok,uploads,subscribers,totalviews,growthsubs1,growthsubs3,growthsubs7,growthsubs14,growthsubs30,growthsubs60,growthsubs90,growthsubs180,growthsubs365,growthviews1,growthviews3,growthviews7,growthviews14,growthviews30,growthviews60,growthviews90,growthviews180,growthviews365,grade,sb_verified,made_for_kids,sbrank,rankedsubscribers,rankedviews,rankcountry
01/08/2023 22:20:18 EST,531,UCarn1tZGBKozadTQIZRbMRw,arn1tZGBKozadTQIZRbMRw,,@,Bahauddin Dije,41334,people,,Unspecified,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1048,2210000,1286775633,30000,90000,190000,430000,1210000,2120800,2121100,2208940,2208940,21912172,42210221,116682031,297915517,822269763,1223682101,1224101974,1264914873,1264917624,A,FALSE,FALSE,52,1076,6858,
01/08/2023 22:20:21 EST,530,UCb8vrqP8Z7Oz9ZTYvUtjUHQ,labelled4,daniellabelle,@daniellabelle,Daniel LaBelle,39883,comedy,,Unspecified,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,250,18500000,9712203514,100000,100000,200000,500000,1200000,2600000,3500000,6600000,11270000,20539969,38450522,116999819,272988731,755637671,1442953794,1977465488,3640017737,6582989382,A,FALSE,FALSE,57,212,381,
01/08/2023 22:20:22 EST,529,UClZAOlfhJQJRym39WoAPxdw,lZAOlfhJQJRym39WoAPxdw,,@thexoteam,XO TEAM,44451,people,US,United States,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2535,10700000,10639427856,100000,100000,100000,200000,300000,700000,1260000,4330000,10385000,18681910,40206201,95944395,182325564,382251442,810148840,1434309113,4715129412,10456071435,A,FALSE,FALSE,246,290,319,178
01/08/2023 22:20:23 EST,528,UCFFbwnve3yF62-tVXkTyHqg,ZeeMusicCompany,,@zeemusiccompany,Zee Music Company,41710,music,IN,India,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,7313,90500000,52353197705,100000,100000,200000,400000,900000,1900000,2700000,5900000,10900000,0,45149946,169241859,309862354,748299900,1652071131,2392776335,4890108499,9347880985,A,FALSE,FALSE,59,13,14,3
01/08/2023 22:20:24 EST,527,UCAgAsH5n26IHMDyzwhF3wIw,AgAsH5n26IHMDyzwhF3wIw,sevengersofficial,@sevengersofficial,SEVENGERS,43255,comedy,IN,India,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,687,11500000,7754309104,100000,100000,100000,200000,500000,1200000,1530000,3410000,8540000,14252525,38857738,107416442,185868921,436634045,995591139,1255668365,2584081439,6199096691,A,FALSE,FALSE,194,282,538,122
01/08/2023 22:20:27 EST,526,UCe9JSDmyqNgA_l2BzGHq1Ug,Harpalgeo,harpalgeoofficial,@harpalgeoofficial,HAR PAL GEO,39449,entertainment,PK,Pakistan,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,75543,35400000,30692304114,0,0,100000,300000,800000,1700000,2500000,4900000,10400000,0,116260986,232832595,524036894,1182739396,2412578850,3517612564,6465571412,12468977276,A+,FALSE,FALSE,15,87,26,2
01/08/2023 22:20:31 EST,525,UClR74BSOFXxMOKtuaaPu91Q,lR74BSOFXxMOKtuaaPu91Q,,@youneszarou,Younes Zarou,44322,entertainment,DE,Germany,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2492,7090000,8820021450,20000,40000,120000,260000,610000,1320000,1910000,4260000,6512000,19193305,56722860,175017055,321610680,771116350,1707421363,2531720626,5415729125,8252760635,A,FALSE,FALSE,53,584,442,12
01/08/2023 22:20:40 EST,524,UCb1FVtN2EvxaeoBBMtOXg7g,AkaKilla20,kiryakolesnikov,@kiryakolesnikov,Kirya Kolesnikov,40878,people,US,United States,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1850,9840000,6262053496,10000,40000,90000,200000,440000,700000,1310000,3960000,7830000,7541029,23222080,53576306,120582845,272488861,444411331,840491772,2420674293,4893235020,A,FALSE,FALSE,513,316,798,196
01/08/2023 22:20:41 EST,523,UCtBu8Wb2BUoduUXJS9Uss7Q,CH8vdo,thaich8,@thaich8,ช่อง8 : Thai Ch8,40833,entertainment,TH,Thailand,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,23981,14300000,5613005692,0,0,0,0,0,100000,100000,400000,1000000,2055372,5751852,9367928,22019968,75678273,261794822,317345852,1055860496,2785187674,A,TRUE,FALSE,589,253,929,14
01/08/2023 22:20:42 EST,522,UCcdwLMPsaU2ezNSJU1nFoBQ,smartbooksmedia,pinkfong,@pinkfong,Pinkfong Baby Shark - Kids' Songs & Stories,40891,education,US,United States,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2539,63100000,34929118468,0,100000,300000,600000,1100000,1900000,2800000,4800000,9100000,44601604,83510679,183282292,353343300,664737103,1323733356,2038460495,3863489295,7436226366,A,FALSE,TRUE,98,24,22,8
