expires_at,available,id,username,cusername,handle,display_name,created_at,channel_type,country_code,country,avatar,Banner,website,Facebook,twitch,twitter,Instagram,linkedin,discord,tik tok,uploads,subscribers,totalviews,growthsubs1,growthsubs3,growthsubs7,growthsubs14,growthsubs30,growthsubs60,growthsubs90,growthsubs180,growthsubs365,growthviews1,growthviews3,growthviews7,growthviews14,growthviews30,growthviews60,growthviews90,growthviews180,growthviews365,grade,sb_verified,made_for_kids,database_rank,sbrank,db_top_10,sp_top_100_excluding_top_10,rankedsubscribers,rankedviews,rankcountry
01/08/2023 23:02:26 EST,80,UCa1wy0BrGFnKfqgfPTrPt8A,a1wy0BrGFnKfqgfPTrPt8A,lhmaake,@lhmaake,LHMAAKE,44203,comedy,MA,Morocco,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2917,2020000,2445619543,10000,20000,70000,140000,370000,940000,1165000,1222000,1757000,11548226,49278870,96662407,193072111,525751226,1241084344,1528951291,1648456000,2252253027,A,FALSE,FALSE,38,140,FALSE,TRUE,1099,3077,70
01/08/2023 22:23:00 EST,467,UCZLOlM5df0CXW9bP5MAeE7A,ZLOlM5df0CXW9bP5MAeE7A,chetanmongavlogs,@chetanmongavlogs,Chetan Monga Vlogs,41868,people,IN,India,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,774,10300000,7536316905,100000,200000,300000,590000,1140000,2170000,3250000,5100000,8590000,32624285,62746200,120003644,236426677,560233461,1100561735,1578974335,2939484032,6180409700,A,FALSE,FALSE,39,141,FALSE,TRUE,296,571,135
01/08/2023 22:56:05 EST,234,UC56dNUTok1pgvpY75CsJQ4Q,56dNUTok1pgvpY75CsJQ4Q,,@gulshankalra07,Gulshan Kalra,43199,howto,,Unspecified,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,422,18100000,8542448914,0,100000,200000,500000,1100000,2400000,3700000,7300000,16280000,19641412,57331817,127697242,239287263,535162892,1158263588,1779450335,3207724324,7623961606,A,FALSE,FALSE,40,143,FALSE,TRUE,216,466,
01/08/2023 22:25:27 EST,400,UCPuEAY09CtdTzFNWuqVZgDw,PuEAY09CtdTzFNWuqVZgDw,,@topperguild,Topper Guild,41829,comedy,US,United States,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,572,10100000,10510577035,0,100000,120000,290000,510000,900000,1400000,2890000,5480000,22119104,62310615,140927820,284377174,516976989,956494632,1457221625,2921601734,4867583631,A,FALSE,FALSE,41,154,FALSE,TRUE,297,326,184
01/08/2023 22:21:11 EST,508,UCJ5v_MCY6GNUBTO8-D3XoAg,wwefannation,wwe,@wwe,WWE,39213,sports,US,United States,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,65487,92200000,72816050168,0,0,100000,200000,500000,900000,1400000,3400000,8200000,15715566,64293624,106174939,224266989,495191049,989266456,1548877159,3643432972,8299423529,A,FALSE,FALSE,42,161,FALSE,TRUE,11,7,5
01/08/2023 23:03:12 EST,65,UC2bYhAHyaqfWlPXWBVk4BcA,TheEnaldinhO,theenaldinho,@enaldinho,Enaldinho,41220,entertainment,BR,Brazil,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,3189,24300000,8973367994,100000,100000,200000,400000,800000,1800000,2600000,4800000,6300000,30828075,60601995,109991928,222841202,475802296,949082368,1312149813,2060847449,3372411184,A,FALSE,FALSE,43,162,FALSE,TRUE,159,430,12
01/08/2023 22:21:59 EST,492,UCu59yAFE8fM0sVNTipR4edw,MashaBearEN,mashabearen,@mashabearen,Masha and The Bear,41899,film,US,United States,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1011,37500000,21192932502,0,100000,200000,300000,800000,1400000,1900000,3500000,6900000,27911706,42262548,103520804,214943320,455441121,907955142,1323328199,2613509006,5151554370,A,FALSE,TRUE,44,171,FALSE,TRUE,76,85,25
01/08/2023 22:22:02 EST,490,UCR5wZcXtOUka8jTA57flzMg,netdmuzikk,netdmuzik,@netdmuzik,netd müzik,41662,music,TR,Turkey,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,21769,23300000,52712661161,0,0,0,0,100000,200000,300000,800000,1900000,32019127,62868879,112719263,222402983,466948317,972072362,1504574327,2967626949,6060137251,A,FALSE,FALSE,45,179,FALSE,TRUE,166,12,1
01/08/2023 22:25:52 EST,390,UCzEAWIWMigRBbulQ6yVlilg,zEAWIWMigRBbulQ6yVlilg,priyalkukreja21,@priyal_kukreja,Priyal Kukreja,44309,people,IN,India,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,574,10500000,7135240749,200000,400000,460000,630000,920000,1680000,2400000,4520000,9930000,22737328,60190441,137959100,236786018,491248975,1038584028,1527336201,2789395469,6905039530,A,FALSE,FALSE,46,181,FALSE,TRUE,297,642,136
01/08/2023 22:58:54 EST,154,UC8md0UEGj7UbjcZtMjBVrgQ,behindwoodstv,behindwoodstv,@behindwoodstv,BehindwoodsTV,40526,people,IN,India,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,38686,10500000,8156579218,0,0,0,100000,100000,300000,520000,1270000,2420000,21123008,82631504,165680601,239250427,474279309,914576301,1409118067,3002037359,4772221100,A,FALSE,FALSE,47,188,FALSE,TRUE,292,505,132
